Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-12-10,Oklahoma City Thunder,,Thabo Sefolosha,placed on IL with sprained right knee,59.0,0.0,regular,2013,20.0,False,knee,knee
2013-12-10,Detroit Pistons,,Rodney Stuckey,placed on IL with knee injury,59.0,0.0,regular,2013,22.0,False,knee,knee
2013-12-10,Miami Heat,,Michael Beasley,placed on IL with strained left hamstring,55.0,0.0,regular,2013,22.0,False,hamstring,upper leg
2013-12-11,Los Angeles Clippers,,JJ Redick,placed on IL with fractured right hand,43.0,0.0,regular,2013,23.0,False,hand,hand
2013-12-11,Utah Jazz,,Mike Harris,placed on IL,56.0,0.0,regular,2013,24.0,False,roaster move,healthy inactive
2013-12-11,Detroit Pistons,,Chauncey Billups,placed on IL,58.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-13,Golden State Warriors,,Jermaine ONeal,placed on IL recovering from arthroscopic surgery on right wrist to repair torn ligament,33.0,0.0,regular,2013,24.0,False,wrist,arm
2013-12-13,Toronto Raptors,,Chuck Hayes,placed on IL with irregular heartbeat,59.0,0.0,regular,2013,21.0,False,other,other
2013-12-13,Toronto Raptors,,Austin Daye,placed on IL,60.0,0.0,regular,2013,21.0,False,roaster move,healthy inactive
2013-12-13,Orlando Magic,,Solomon Jones,placed on IL,56.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-13,Atlanta Hawks,,Gustavo Ayon,placed on IL,54.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-13,Detroit Pistons,,Peyton Siva,placed on IL,29.0,0.0,regular,2013,24.0,False,roaster move,healthy inactive
2013-12-14,San Antonio Spurs,,Malcolm Thomas,placed on IL,56.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-14,Toronto Raptors,,Julyan Stone,placed on IL,59.0,0.0,regular,2013,22.0,False,roaster move,healthy inactive
2013-12-14,Cleveland Cavaliers,,Tyler Zeller,placed on IL with sprained right ankle,58.0,0.0,regular,2013,23.0,False,ankle,lower leg
2013-12-14,Dallas Mavericks,,Dirk Nowitzki,placed on IL with illness,57.0,0.0,regular,2013,24.0,False,sick,sick
2013-12-15,Detroit Pistons,,Tony Mitchell,placed on IL,56.0,0.0,regular,2013,25.0,False,roaster move,healthy inactive
2013-12-15,Oklahoma City Thunder,,Ryan Gomes,placed on IL,53.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-16,Washington Wizards,,Nene Nene,placed on IL with right foot tendinitis,58.0,0.0,regular,2013,23.0,False,foot,foot
2013-12-16,San Antonio Spurs,,Nando De,placed on IL,57.0,0.0,regular,2013,24.0,False,roaster move,healthy inactive
2013-12-16,Detroit Pistons,,Chauncey Billups,placed on IL,55.0,0.0,regular,2013,26.0,False,roaster move,healthy inactive
2013-12-17,Cleveland Cavaliers,,Henry Sims,placed on IL,57.0,0.0,regular,2013,24.0,False,roaster move,healthy inactive
2013-12-17,Memphis Grizzlies,,Quincy Pondexter,placed on IL with stress fracture in right foot (out for season),58.0,0.0,regular,2013,24.0,False,foot,foot
2013-12-18,Washington Wizards,,Glen Rice,placed on IL recovering from surgery on fractured right wrist,42.0,0.0,regular,2013,24.0,False,wrist,arm
2013-12-18,San Antonio Spurs,,Tony Parker,placed on IL with bruised right shin,55.0,0.0,regular,2013,25.0,False,shin,lower leg
2013-12-18,Toronto Raptors,,Dwight Buycks,placed on IL,58.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-18,Toronto Raptors,,Austin Daye,placed on IL,51.0,0.0,regular,2013,23.0,False,roaster move,healthy inactive
2013-12-18,Detroit Pistons,,Rodney Stuckey,placed on IL with sore right shoulder,53.0,0.0,regular,2013,27.0,False,shoulder,torso
2013-12-18,Orlando Magic,,Arron Afflalo,placed on IL with illness,55.0,0.0,regular,2013,26.0,False,sick,sick
2013-12-18,New York Knicks,,Pablo Prigioni,placed on IL fractured right toe,41.0,0.0,regular,2013,25.0,False,toe,foot
2013-12-18,New York Knicks,,Amare Stoudemire,placed on IL with sore right knee,56.0,0.0,regular,2013,25.0,False,knee,knee
2013-12-19,San Antonio Spurs,,Tim Duncan,placed on IL for rest,55.0,0.0,regular,2013,26.0,False,rest,rest
2013-12-20,Toronto Raptors,,Julyan Stone,placed on IL,51.0,0.0,regular,2013,24.0,False,roaster move,healthy inactive
2013-12-20,Los Angeles Lakers,,Kobe Bryant,placed on IL with fractured left tibia (out for season),73.0,0.0,regular,2013,26.0,False,tibia,lower leg
2013-12-20,Indiana Pacers,,Solomon Hill,placed on IL,47.0,0.0,regular,2013,26.0,False,roaster move,healthy inactive
2013-12-20,Cleveland Cavaliers,,Anthony Bennett,placed on IL with illness,55.0,0.0,regular,2013,25.0,False,sick,sick
